ID_REGISTRO;ID_PARCELA;Area;Lluvia_Temporada;KG
185;59;3768,59;394,3;5557
186;60;2499,65;394,3;7434
187;61;1349,54;394,3;
188;62;531,84;394,3;2752
189;63;2478,04;394,3;11336
190;1;3696,29;544,2;12628
191;2;1469,21;544,2;
192;3;1529,87;544,2;
193;4;6247,46;544,2;18803
194;5;2763,91;544,2;4648
195;6;2715,71;544,2;9187
196;7;1288,88;544,2;1538
197;8;5836,11;544,2;29254
198;9;1463,39;544,2;
199;10;1006,34;544,2;2343
200;11;2833,71;544,2;4694
201;12;1227,39;544,2;4357
202;13;2443,14;544,2;5550
203;14;535,16;544,2;851
204;15;6116,99;544,2;9773
205;16;1967,81;544,2;4675
206;17;1501,62;544,2;
207;18;1349,54;544,2;846
208;19;2635,1;544,2;
209;20;3558,34;544,2;
210;21;1489,15;544,2;3004
211;22;7710,85;544,2;8845
212;23;4667,73;544,2;5481
213;24;2676,65;544,2;2873
214;25;2400,76;544,2;12808
215;26;1553,14;544,2;1636
216;27;4692,66;544,2;17170
217;28;2073,35;544,2;4678
218;29;3432,86;544,2;6753
219;30;2958,36;544,2;1646
220;31;1844,82;544,2;2765
221;32;1806,59;544,2;2074
222;33;1371,15;544,2;3591
223;34;1728,48;544,2;4537
224;35;739,59;544,2;1954
225;36;3114,59;544,2;9289
226;37;3325,66;544,2;13011
227;38;3183,56;544,2;8238
228;39;993,88;544,2;5537
229;40;3458,62;544,2;8735
230;41;5151,37;544,2;
231;42;3313,2;544,2;15096
232;43;1373,64;544,2;1799
233;44;934,88;544,2;
234;45;1708,54;544,2;8295
235;46;1729,31;544,2;5638
236;47;2468,07;544,2;10576
237;48;1440,95;544,2;4216
238;49;3617,34;544,2;8314
239;50;1706,87;544,2;4334
240;51;1803,27;544,2;8656
241;52;2405,75;544,2;11934
242;53;1002,19;544,2;4386
243;54;2704,91;544,2;7289
244;55;1874,74;544,2;
245;56;3889,91;544,2;16258
246;57;1582,22;544,2;4403
247;58;1706,87;544,2;4334
248;59;3768,59;544,2;6894
249;60;2499,65;544,2;2796
250;61;1349,54;544,2;846
251;62;531,84;544,2;850
252;63;2478,04;544,2;7992
253;1;3696,29;259,8;14679
254;2;1469,21;259,8;
255;3;1529,87;259,8;
256;4;6247,46;259,8;20615
257;5;2763,91;259,8;
258;6;2715,71;259,8;
259;7;1288,88;259,8;2131
260;8;5836,11;259,8;33540
261;9;1463,39;259,8;
262;10;1006,34;259,8;6516
263;11;2833,71;259,8;4873
264;12;1227,39;259,8;5956
265;13;2443,14;259,8;14180
266;14;535,16;259,8;3524
267;15;6116,99;259,8;12197
268;16;1967,81;259,8;5918
269;17;1501,62;259,8;
270;18;1349,54;259,8;6917
271;19;2635,1;259,8;
272;20;3558,34;259,8;
273;21;1489,15;259,8;4545
274;22;7710,85;259,8;11588
275;23;4667,73;259,8;
276;24;2676,65;259,8;12979
277;25;2400,76;259,8;13840
278;26;1553,14;259,8;6700
279;27;4692,66;259,8;24130
280;28;2073,35;259,8;9804
281;29;3432,86;259,8;8448
282;30;2958,36;259,8;8052
283;31;1844,82;259,8;6750
284;32;1806,59;259,8;7030
285;33;1371,15;259,8;5202
286;34;1728,48;259,8;6360
287;35;739,59;259,8;2540
288;36;3114,59;259,8;9553
289;37;3325,66;259,8;16619
290;38;3183,56;259,8;2266
291;39;993,88;259,8;723
292;40;3458,62;259,8;
293;41;5151,37;259,8;
294;42;3313,2;259,8;21689
295;43;1373,64;259,8;1553
296;44;934,88;259,8;
297;45;1708,54;259,8;7993
298;46;1729,31;259,8;7057
299;47;2468,07;259,8;
300;48;1440,95;259,8;4000
301;49;3617,34;259,8;9761
302;50;1706,87;259,8;5314
303;51;1803,27;259,8;8250
304;52;2405,75;259,8;10993
305;53;1002,19;259,8;4475
306;54;2704,91;259,8;13529
307;55;1874,74;259,8;
308;56;3889,91;259,8;11913
309;57;1582,22;259,8;6022
310;58;1706,87;259,8;5294
311;59;3768,59;259,8;6653
312;60;2499,65;259,8;13249
313;61;1349,54;259,8;6937
314;62;531,84;259,8;1389
315;63;2478,04;259,8;11668
